Feature,Diff Count,Diff %,Avg Diff (Abs),Median Diff (Abs),Max Diff (Abs)
avg_review_length,1860,55.99036724864539,45.56289008815209,0.6666666666666572,6203.284615384616
min_review_length,951,28.62733293196869,10.773028296207103,0.0,2956.0
review_unplayed_ratio,354,10.65623118603251,0.09253173593605386,0.0,1.0
zero_playtime_achievements_ratio,172,5.177603853100542,0.0,0.0,0.0
night_activity_ratio,2,0.060204695966285374,3.559582078441481e-05,0.0,0.09031074665515759
median_unlock_interval_sec,1,0.030102347983142687,0.008467900748326113,0.0,21.5
std_unlock_interval_sec,1,0.030102347983142687,1.5227806083696618,0.0,3866.3399646505713
hour_entropy,1,0.030102347983142687,1.1404744323490976e-06,0.0,0.0028956645837343586
cv_unlock_interval,1,0.030102347983142687,4.379063542800947e-06,0.0,0.011109684208086001
playtime_per_achievement,1,0.030102347983142687,0.0020348096981243845,0.0,4.226299743004347
review_duplication_rate,1,0.030102347983142687,1.6723526657301324e-06,0.0,0.0055555555555555
game_hhi,1,0.030102347983142687,2.805486793323755e-07,0.0,0.0007123130968249014
total_achievements,1,0.030102347983142687,0.0011815675462780622,0.0,3.0
avg_achievements_per_game,1,0.030102347983142687,2.8818720640927324e-05,0.0,0.07317073170731447
top3_game_concentration,1,0.030102347983142687,8.204413341914953e-07,0.0,0.0020831005475122066
top1_game_concentration,1,0.030102347983142687,1.2278328932383239e-06,0.0,0.003117467715932104
max_achievements_per_minute,0,0.0,0.0,0.0,0.0
activity_density,0,0.0,0.0,0.0,0.0
max_achievements_per_day,0,0.0,0.0,0.0,0.0
achievement_game_ratio,0,0.0,0.0,0.0,0.0
library_size,0,0.0,0.0,0.0,0.0
total_reviews,0,0.0,0.0,0.0,0.0
days_before_first_achievement,0,0.0,0.0,0.0,0.0
account_age_days,0,0.0,0.0,0.0,0.0
total_playtime_mins,0,0.0,0.0,0.0,0.0
